Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
"Amazing 8 Acre Ranch- Weddings, Reunions, Retreats",104633799,,562412,706779,3429.34,56.55,290,17,17,16,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,4.95,50,1,6-20,Luxury,true,750,true,164,62,2026-05-10,Austin,Dripping Springs,Dripping Springs,Texas,78620,United States,suburban,https://www.airbnb.com/rooms/50544254,https://a0.muscache.com/im/pictures/prohost-api/Hosting-50544254/original/62a74663-1730-42ef-9756-22804bef9144.jpeg,50544254,2693352,30.255,-98.1574,=AVERAGE($G$2:$G$236),=AVERAGE($D$2:$D$236),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
"Ultimate Group Getaway | Luxury, Pool & Pickleball",Walker Luxury Vacation,,530573,567705,2947.63,53.25,338,12,10,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.85,27,2,21+,Luxury,true,1336,true,180,58,2026-05-17,Austin,Dripping Springs,Austin,Texas,78737,United States,suburban,https://www.airbnb.com/rooms/797039596633745168,https://a0.muscache.com/im/pictures/prohost-api/Hosting-797039596633745168/original/8c30140c-04f9-4c03-805d-b33b171fa4c9.jpeg,797039596633745168,9775125ha,30.23539,-98.0084,=AVERAGE($G$2:$G$236),=AVERAGE($D$2:$D$236),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
"Micro Resort, Sleeps 20 | Pool, Game Barn, Hot Tub",Guest Spaces,,473414,479393,2491.65,52.92,359,9,8,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.9,93,2,21+,Luxury,true,808,true,190,61,2026-05-14,Austin,Dripping Springs,Dripping Springs,Texas,78620,United States,suburban,https://www.airbnb.com/rooms/823184522839207921,https://a0.muscache.com/im/pictures/prohost-api/Hosting-823184522839207921/original/2a9588bb-3d53-405f-bc49-6e1fa0a7aabe.jpeg,823184522839207921,9789071ha,30.24752,-98.20148,=AVERAGE($G$2:$G$236),=AVERAGE($D$2:$D$236),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
GrandVilla: 9000 sqft *Pickleball*Pool*Spa*Sleeps35,256882822,,427508,467408,2529.63,50.6,334,9,8,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,238,3,21+,Luxury,true,1526,true,169,48,2026-05-11,Austin,Dripping Springs,Dripping Springs,Texas,78620,United States,suburban,https://www.airbnb.com/rooms/38019675,https://a0.muscache.com/im/pictures/miso/Hosting-38019675/original/830e82cb-7643-48ee-b6ba-e51522f4e0dc.jpeg,38019675,9133457ha,30.2211,-98.1166,=AVERAGE($G$2:$G$236),=AVERAGE($D$2:$D$236),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
"Pool, Pickleball, Indoor/Outdoor Games, Sleeps 30+",211948,,370587,417545,1890.75,60.87,322,7,6,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.95,40,2,2-5,Luxury,true,995,false,196,59,2026-05-17,Austin,Dripping Springs,Dripping Springs,Texas,78620,United States,suburban,https://www.airbnb.com/rooms/1167378583824201406,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1167378583824201406/original/c3e6cb75-e28b-49d9-bbac-604637c6ae63.jpeg,1167378583824201406,4032182,30.28603,-98.15365,=AVERAGE($G$2:$G$236),=AVERAGE($D$2:$D$236),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
"Spa/Pool, GameBarn, Pickleball, FirePit, Big Views",211948,,338696,367467,1830.79,54.41,340,7,6,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.95,108,2,2-5,Luxury,true,645,false,185,55,2026-05-17,Austin,Dripping Springs,Driftwood,Texas,78619,United States,suburban,https://www.airbnb.com/rooms/886982046187998576,https://a0.muscache.com/im/pictures/miso/Hosting-886982046187998576/original/177dff7a-9938-4d0a-a944-debea24ba3bf.jpeg,886982046187998576,3428342,30.11117,-98.07178,=AVERAGE($G$2:$G$236),=AVERAGE($D$2:$D$236),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Whole Ranch Buyout for your team or family!,Hill Country Premier Lodging,,305437,304428,5656.24,96.43,61,25,17,56,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,0,0,2,21+,Luxury,false,1270,false,54,8,2026-05-16,Austin,Dripping Springs,Dripping Springs,Texas,78620,United States,suburban,https://www.vrbo.com/20259279ha,https://media.vrbo.com/lodging/128000000/127060000/127050500/127050451/83ee6286.jpg?impolicy=resizecrop&rw=1200&ra=fit,,20259279ha,30.242652,-98.048848,=AVERAGE($G$2:$G$236),=AVERAGE($D$2:$D$236),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
"Luxury Ranch Near Austin - Perfect For Family Reunions, Pool, Spectacular Views!",,,288273,290474,2597.05,32.36,343,8,9,38,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,5,9,3,1,Luxury,false,750,true,111,32,2025-12-01,Austin,Dripping Springs,Dripping Springs,Texas,78620,United States,suburban,https://www.vrbo.com/4219566,https://media.vrbo.com/lodging/110000000/109390000/109388000/109387980/e2395085.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4219566,30.31164,-98.17657,=AVERAGE($G$2:$G$236),=AVERAGE($D$2:$D$236),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
"The Owners House | Luxury, Pool & Fun Near Austin",Walker Luxury Vacation,,280691,338916,2094.71,44.97,309,8,7,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.8,79,2,21+,Luxury,true,1000,true,134,42,2026-05-11,Austin,Dripping Springs,Austin,Texas,78737,United States,suburban,https://www.airbnb.com/rooms/32664554,https://a0.muscache.com/im/pictures/prohost-api/Hosting-32664554/original/b77e97f6-455d-4339-9cf6-03dab45364ac.jpeg,32664554,4837821ha,30.2138,-97.9998,=AVERAGE($G$2:$G$236),=AVERAGE($D$2:$D$236),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Luxe Farmhouse w/ Pool and Spa on 4 Acres,40303351,,265510,283663,1599.46,48.26,344,8,5,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.95,56,2,6-20,Luxury,true,463,true,166,50,2026-05-11,Austin,Dripping Springs,Dripping Springs,Texas,78620,United States,suburban,https://www.airbnb.com/rooms/1221906974473075945,https://a0.muscache.com/im/pictures/hosting/Hosting-1221906974473075945/original/45129dfb-c3dc-48a6-9d0c-258fab2b82be.jpeg,1221906974473075945,4159277,30.2338,-98.0249,=AVERAGE($G$2:$G$236),=AVERAGE($D$2:$D$236),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
