Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
The Gatsby Mansion a Luxury Estate with Casino,301565646,,869272,951790,4100.34,63.66,333,12,11,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,47,2,6-20,Luxury,false,970,false,212,48,2026-05-17,Austin,Lake Travis,Austin,Texas,78734,United States,suburban,https://www.airbnb.com/rooms/952337501615774074,https://a0.muscache.com/im/pictures/prohost-api/Hosting-952337501615774074/original/1ab579d8-a270-486d-bc64-6b6827032b20.jpeg,952337501615774074,9915705ha,30.4232,-97.9278,=AVERAGE($G$2:$G$443),=AVERAGE($D$2:$D$443),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Las Luces Village | Large Retreat | Pool | Hot tub,FCM Homes,,636110,924929,3102.98,81.03,253,15,60,16,true,false,true,true,true,true,true,Home/Apartment,Villa,House/villa,4.8,15,2,21+,Luxury,true,1317,false,205,63,2026-05-17,Austin,Lake Travis,Spicewood,Texas,78669,United States,suburban,https://www.airbnb.com/rooms/1084896871605600189,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1084896871605600189/original/d6ce8af5-89bd-4e4c-86aa-7bf40c5c211b.jpeg,1084896871605600189,3844142,30.3725,-98.0401,=AVERAGE($G$2:$G$443),=AVERAGE($D$2:$D$443),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
"Epic Retreat | Pool, Pickleball, Games, Playground",,,594610,650051,4100.76,48.82,315,7,6,24,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,4.9,0,3,2-5,Luxury,false,749,false,145,50,2026-03-01,Austin,Lake Travis,Austin,Texas,78732,United States,suburban,https://www.vrbo.com/4312200,https://media.vrbo.com/lodging/112000000/111170000/111162900/111162857/b019abb4.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4312200,30.33179,-97.92213,=AVERAGE($G$2:$G$443),=AVERAGE($D$2:$D$443),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Above Elite I Sand Volleyball | Lake Austin | Pick,ABOVE Vacation,,560415,574757,4277.98,36.8,360,7,5,16,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,4.9,61,2,21+,Luxury,false,602,true,131,35,2026-05-13,Austin,Lake Travis,Austin,Texas,78730,United States,suburban,https://www.airbnb.com/rooms/36880518,https://a0.muscache.com/im/pictures/prohost-api/Hosting-36880518/original/5bdeab4c-f64e-4fad-b258-3b8db2a85831.jpeg,36880518,7409240ha,30.3493,-97.8719,=AVERAGE($G$2:$G$443),=AVERAGE($D$2:$D$443),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Luxury Lake House w/ Heated Pool & Multiple Spas,429431679,,511181,886237,2824.2,83.8,218,6,4,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,148,1,2-5,Luxury,true,391,true,181,40,2026-05-17,Austin,Lake Travis,Leander,Texas,78641,United States,suburban,https://www.airbnb.com/rooms/53048145,https://a0.muscache.com/im/pictures/miso/Hosting-53048145/original/52ef5fa0-a85c-4643-a796-9b3938b56767.jpeg,53048145,2270103,30.4737,-97.9095,=AVERAGE($G$2:$G$443),=AVERAGE($D$2:$D$443),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Havan Peaceful Private Luxury Retreat,1325502,,505055,575009,2759.86,62.67,293,9,9,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,20,2,2-5,Luxury,true,849,true,183,54,2026-05-13,Austin,Lake Travis,Austin,Texas,78738,United States,suburban,https://www.airbnb.com/rooms/1408125212574170754,https://a0.muscache.com/im/pictures/hosting/Hosting-1408125212574170754/original/9b83df6c-18e3-4ae4-b9b2-e5cc87c658c3.jpeg,1408125212574170754,,30.3336663127,-98.0085330532,=AVERAGE($G$2:$G$443),=AVERAGE($D$2:$D$443),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Above Hacienda | Waterfront I Pool & Spa with Slid,ABOVE Vacation,,457714,472438,5085.71,27.19,358,7,8,16,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,4.9,21,2,21+,Luxury,false,2010,true,90,24,2026-05-16,Austin,Lake Travis,Austin,Texas,78730,United States,suburban,https://www.airbnb.com/rooms/44354441,https://a0.muscache.com/im/pictures/prohost-api/Hosting-44354441/original/6ee1cc71-e03d-4c1a-b7db-3f08f201defc.jpeg,44354441,9462946ha,30.3496,-97.8717,=AVERAGE($G$2:$G$443),=AVERAGE($D$2:$D$443),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
"Lake Travis16,000 SQFT Waterfront Luxury w/Boat Dock, Pickleball Courts, 12acres",,,419741,460710,3886.49,32.53,342,10,7,25,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,5,252,3,1,Luxury,false,900,true,108,31,2026-05-17,Austin,Lake Travis,Marble Falls,Texas,78654,United States,suburban,https://www.vrbo.com/490043,https://media.vrbo.com/lodging/24000000/23560000/23559000/23558906/a2506fd2.jpg?impolicy=resizecrop&rw=1200&ra=fit,,490043,30.461063,-98.034505,=AVERAGE($G$2:$G$443),=AVERAGE($D$2:$D$443),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
"Panoramic Lake Travis Views! Mothers day, Memorial",497618095,,401861,421415,2752.47,43.2,347,7,8,16,true,false,true,true,true,true,true,Home/Apartment,Villa,House/villa,4.9,110,3,2-5,Luxury,false,426,true,146,38,2026-05-11,Austin,Lake Travis,Leander,Texas,78645,United States,suburban,https://www.airbnb.com/rooms/817385797390033328,https://a0.muscache.com/im/pictures/prohost-api/Hosting-817385797390033328/original/82320b00-646d-4bbd-8369-18690e7441cf.jpeg,817385797390033328,2922178,30.4384,-97.9501,=AVERAGE($G$2:$G$443),=AVERAGE($D$2:$D$443),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Lake Austin Resort: 5 Bedrm/Bball/PPong/DivingBrd,389634147,,395582,395582,1997.89,78.57,304,5,6,8,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,0,0,3,2-5,Luxury,true,400,true,198,4,2026-04-09,Austin,Lake Travis,Austin,Texas,78734,United States,suburban,https://www.airbnb.com/rooms/1357515895984798615,https://a0.muscache.com/im/pictures/miso/Hosting-1357515895984798615/original/fe1f0dd6-7dfc-4486-a591-22b27acdc8fb.jpeg,1357515895984798615,,30.3425,-97.9305,=AVERAGE($G$2:$G$443),=AVERAGE($D$2:$D$443),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
