Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
"PK LakeTime: 6/4 Home with Dock, pool, hot tub",SmartsRentals,,244860,262416,1787.3,43.49,335,6,4,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,159,2,21+,Luxury,true,564,true,137,45,2026-05-11,Texas East Area,Possum Kingdom Lake,Strawn,Texas,76475,United States,rural,https://www.airbnb.com/rooms/885348769212657659,https://a0.muscache.com/im/pictures/prohost-api/Hosting-885348769212657659/original/becf42ee-b933-41ca-ad59-39cedd0dc6df.jpeg,885348769212657659,1920809,32.8373,-98.4903,=AVERAGE($G$2:$G$252),=AVERAGE($D$2:$D$252),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
"*New PK SLIDE* 5 bed, 6 bath home with pool/hot tu",SmartsRentals,,240224,267958,2107.23,38.38,328,5,5,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.85,52,2,21+,Luxury,true,565,true,114,40,2026-05-11,Texas East Area,Possum Kingdom Lake,Graford,Texas,76449,United States,rural,https://www.airbnb.com/rooms/918803682724263399,https://a0.muscache.com/im/pictures/prohost-api/Hosting-918803682724263399/original/6904e84b-0e2f-4dc1-8d49-119233376796.jpeg,918803682724263399,3222650,32.847,-98.4685,=AVERAGE($G$2:$G$252),=AVERAGE($D$2:$D$252),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
"Cliff Haven 2.0: 6-7 Bdrm/ 6 Bath w/ pool/hot tub,",SmartsRentals,,207356,232126,1595.05,40.75,338,7,6,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,42,2,21+,Luxury,true,753,true,130,47,2026-05-13,Texas East Area,Possum Kingdom Lake,Strawn,Texas,76475,United States,rural,https://www.airbnb.com/rooms/1227873003234297461,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1227873003234297461/original/76e4e293-3d6d-4526-b32e-78a52092fd34.jpeg,1227873003234297461,4156867,32.847,-98.4799,=AVERAGE($G$2:$G$252),=AVERAGE($D$2:$D$252),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
PK Dream-6 bedroom/8bath- Lakefront Home w POOL an,SmartsRentals,,174528,191672,1631.1,37.54,303,6,7,16,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.9,24,2,21+,Luxury,true,627,true,107,33,2026-05-16,Texas East Area,Possum Kingdom Lake,Graford,Texas,76449,United States,rural,https://www.airbnb.com/rooms/902503449583546007,https://a0.muscache.com/im/pictures/prohost-api/Hosting-902503449583546007/original/d889a171-2a8a-4dc3-b669-40a6843dd0f7.jpeg,902503449583546007,3431911,32.8489,-98.4664,=AVERAGE($G$2:$G$252),=AVERAGE($D$2:$D$252),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
View On The Rocks @ Hells Gate Possum Kingdom Lake,518242898,,166037,167313,1747.76,29.23,360,5,5,16,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,5,19,3,1,Luxury,false,500,false,95,27,2026-05-13,Texas East Area,Possum Kingdom Lake,Graford,Texas,76449,United States,rural,https://www.airbnb.com/rooms/906601750077557755,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6OTA2NjAxNzUwMDc3NTU3NzU1/original/8e6bfe35-82de-446a-95ba-e676f6d78a16.jpeg,906601750077557755,3229482,32.85257,-98.46307,=AVERAGE($G$2:$G$252),=AVERAGE($D$2:$D$252),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Sunset Manor- with a DOCK & HOT TUB!,Smart Vacation,,147229,181734,1549.78,30.94,324,5,3,16,true,false,true,true,false,false,false,Home/Apartment,House,House/villa,4.95,12,2,21+,Luxury,true,627,true,95,30,2026-05-13,Texas East Area,Possum Kingdom Lake,Graham,Texas,76450,United States,rural,https://www.airbnb.com/rooms/1229665607028912510,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1229665607028912510/original/c0d7d49e-99b4-40db-b3e9-a5eb224b8c7b.jpeg,1229665607028912510,4162082,32.8956,-98.5159,=AVERAGE($G$2:$G$252),=AVERAGE($D$2:$D$252),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Very Private 2 Acre Waterfront Lake House w/ Pool & Hot Tub - optional bunkhouse,,,136351,168027,816.47,54.4,318,4,4,12,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.8,164,3,1,Luxury,false,275,true,167,48,2026-05-15,Texas East Area,Possum Kingdom Lake,Graford,Texas,76449,United States,rural,https://www.vrbo.com/4503739ha,https://media.vrbo.com/lodging/25000000/24200000/24199500/24199410/ae0aa33d.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4503739ha,32.935365,-98.42441,=AVERAGE($G$2:$G$252),=AVERAGE($D$2:$D$252),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
PK Paradise | Brand new home! | Sleeps 17 w game r,SmartsRentals,,132966,137652,1621.54,26.28,355,5,4,16,true,false,true,true,false,false,true,Home/Apartment,House,House/villa,4.9,13,2,21+,Luxury,true,627,true,82,28,2026-05-13,Texas East Area,Possum Kingdom Lake,Graford,Texas,76449,United States,rural,https://www.airbnb.com/rooms/1132611916851338581,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1132611916851338581/original/8da52d86-d4fd-40d2-867a-09205c6d99df.jpeg,1132611916851338581,3949427,32.8842,-98.4679,=AVERAGE($G$2:$G$252),=AVERAGE($D$2:$D$252),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Life's A Hoot | Dock and Hot Tub! Close to Rocker,SmartsRentals,,128918,142179,1448.52,28.71,343,7,5,16,true,false,true,true,false,false,false,Home/Apartment,House,House/villa,4.95,35,2,21+,Luxury,true,628,true,89,33,2026-05-13,Texas East Area,Possum Kingdom Lake,Graford,Texas,76449,United States,rural,https://www.airbnb.com/rooms/1071379131079735105,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1071379131079735105/original/7a1f7b0a-08ae-4bd7-a713-799213a54a06.jpeg,1071379131079735105,3813850,32.9456,-98.413,=AVERAGE($G$2:$G$252),=AVERAGE($D$2:$D$252),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Lake Therapy: 5 Bedroom/ 5 Bath Home with Dock!,SmartsRentals,,128360,142417,1426.22,33.96,323,5,5,14,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,4.9,16,2,21+,Luxury,true,565,true,90,32,2026-05-13,Texas East Area,Possum Kingdom Lake,Graford,Texas,76449,United States,rural,https://www.airbnb.com/rooms/1313140769914467451,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1313140769914467451/original/f51e73f1-03fd-45f1-833a-b4b5c9fde4cf.jpeg,1313140769914467451,4339257,32.8654,-98.4499,=AVERAGE($G$2:$G$252),=AVERAGE($D$2:$D$252),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
"Ranch Water 5 bed/4.5 bath w pool/ hot tub, lake a",SmartsRentals,,119657,126527,1196.57,30.3,349,5,4,14,true,false,true,true,false,false,true,Home/Apartment,House,House/villa,5,21,2,21+,Luxury,true,565,true,100,38,2026-05-17,Texas East Area,Possum Kingdom Lake,Strawn,Texas,76475,United States,rural,https://www.airbnb.com/rooms/1284404549724670714,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1284404549724670714/original/f1286c17-bf89-4736-9780-b97249060f9e.jpeg,1284404549724670714,4277695,32.8352,-98.4928,=AVERAGE($G$2:$G$252),=AVERAGE($D$2:$D$252),"=IFERROR(($AT12-G12)/$AT12,0)","=IFERROR(($AU12-D12)/$AU12,0)",=$AU12-D12
