Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Frog + Lily Pad,16446286,,519424,660592,2427.21,84.92,265,5,4,10,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,10,2,2-5,Luxury,true,200,false,214,37,2026-05-11,Austin,Old West Austin,Austin,Texas,78703,United States,urban_metro,https://www.airbnb.com/rooms/1042656178473691377,https://a0.muscache.com/im/pictures/miso/Hosting-1042656178473691377/original/38f1e4a1-82f6-4464-8c16-67463b6f1107.jpeg,1042656178473691377,,30.2829064674,-97.7588594085,=AVERAGE($G$2:$G$130),=AVERAGE($D$2:$D$130),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Above Austin Icon | Waterfront Lake Austin | Pool,ABOVE Vacation,,368374,521658,4784.08,42.78,295,5,6,16,true,true,false,true,true,false,true,Home/Apartment,House,House/villa,5,2,2,21+,Luxury,false,1696,true,77,11,2026-05-17,Austin,Old West Austin,Austin,Texas,78703,United States,urban_metro,https://www.airbnb.com/rooms/883862309889461087,https://a0.muscache.com/im/pictures/prohost-api/Hosting-883862309889461087/original/45e04706-6930-4759-9758-2c5f91fc7500.jpeg,883862309889461087,9821832ha,30.3069,-97.7759,=AVERAGE($G$2:$G$130),=AVERAGE($D$2:$D$130),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Gorgeous Home & Pool + Close to DT - Windsor Place,The Renters Club,,282538,299918,2124.35,38.66,344,6,7,16,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,4.95,32,3,21+,Luxury,false,594,true,133,47,2026-05-11,Austin,Old West Austin,Austin,Texas,78703,United States,urban_metro,https://www.airbnb.com/rooms/54160014,https://a0.muscache.com/im/pictures/hosting/Hosting-54160014/original/fdc72bb8-251b-419d-b507-27d600e4711d.jpeg,54160014,9643574ha,30.2819,-97.75482,=AVERAGE($G$2:$G$130),=AVERAGE($D$2:$D$130),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
"Luxury Home, Pool & Outdoor Living, 8 Min to DT",237444043,,206673,272569,1602.12,47.96,280,6,6,10,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,4.9,123,3,1,Luxury,true,485,false,129,33,2026-05-13,Austin,Old West Austin,Austin,Texas,78703,United States,urban_metro,https://www.airbnb.com/rooms/31668518,https://a0.muscache.com/im/pictures/miso/Hosting-31668518/original/56598b81-dd96-4088-b6a2-4cbc023305fa.jpeg,31668518,7559520ha,30.29969,-97.7815,=AVERAGE($G$2:$G$130),=AVERAGE($D$2:$D$130),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
"ATX Oasis! 3-Story Home - Heated Pool, Spa, Sauna!",4922727,,176411,183659,812.95,61.3,354,4,2,14,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.95,311,2,6-20,Luxury,true,237,true,217,71,2026-05-17,Austin,Old West Austin,Austin,Texas,78703,United States,urban_metro,https://www.airbnb.com/rooms/45432352,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDU0MzIzNTI%3D/original/8604e813-02ae-4573-a453-be5b7f5c0932.jpeg,45432352,4782751,30.29483,-97.76051,=AVERAGE($G$2:$G$130),=AVERAGE($D$2:$D$130),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Downtown | Heated Pool | Hot Tub | Ping Pong,152608759,,154489,159318,1576.42,30.15,351,5,3,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,10,3,21+,Luxury,true,848,true,98,23,2026-05-11,Austin,Old West Austin,Austin,Texas,78703,United States,urban_metro,https://www.airbnb.com/rooms/1085124378583909138,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1085124378583909138/original/aabf0681-725a-43e7-afd7-241eb1efeaff.jpeg,1085124378583909138,3844269,30.32119,-97.76848,=AVERAGE($G$2:$G$130),=AVERAGE($D$2:$D$130),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
"Central Austin, Private Pool/Spa, Downtown, SXSW",55786829,,141017,202477,1317.92,67.72,301,5,3,10,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.85,29,3,1,Luxury,false,350,false,107,10,2026-05-13,Austin,Old West Austin,Austin,Texas,78703,United States,urban_metro,https://www.airbnb.com/rooms/51265841,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NTEyNjU4NDE%3D/original/ac401060-8cd9-4938-a973-37dbb5129353.jpeg,51265841,2482915,30.30087,-97.7757,=AVERAGE($G$2:$G$130),=AVERAGE($D$2:$D$130),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
"*NEW* Private Pool, Each Bedroom with a Bathroom",Walker Luxury Vacation,,135780,168334,843.35,49.39,327,4,4,11,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,4.95,20,3,21+,Luxury,true,656,true,161,45,2026-03-28,Austin,Old West Austin,Austin,Texas,78703,United States,urban_metro,https://www.airbnb.com/rooms/1401588042367274982,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1401588042367274982/original/58555eba-e0d8-4b8a-8fc8-adf60f735e62.jpeg,1401588042367274982,20138529ha,30.2960929988,-97.7664640394,=AVERAGE($G$2:$G$130),=AVERAGE($D$2:$D$130),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
"The Eddy Retreat - Downtown Views, Pool + Hot Tub",194889586,,113013,141298,965.92,60,244,4,4,10,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,87,2,1,Luxury,false,299,false,117,40,2026-01-25,Austin,Old West Austin,Austin,Texas,78703,United States,urban_metro,https://www.airbnb.com/rooms/929226381813377349,https://a0.muscache.com/im/pictures/miso/Hosting-929226381813377349/original/ead57d63-7900-4b0e-90bc-2f742c1757be.jpeg,929226381813377349,3967898,30.28391,-97.76695,=AVERAGE($G$2:$G$130),=AVERAGE($D$2:$D$130),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Above Austin Diamond on Lake Austin,ABOVE Vacation,,111785,207272,3021.22,27.61,174,4,4,12,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,5,3,3,21+,Luxury,false,538,true,37,8,2026-05-15,Austin,Old West Austin,Austin,Texas,78731,United States,urban_metro,https://www.airbnb.com/rooms/1496405248426249171,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1496405248426249171/original/370e3294-7c84-4291-bdcd-96357d33e285.jpeg,1496405248426249171,20189867ha,30.3278,-97.7772,=AVERAGE($G$2:$G$130),=AVERAGE($D$2:$D$130),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
