Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Slopes/ Views/ Hot Tub /Privacy / Style,,,476697,616810,7814.7,38.85,224,3,2,10,false,false,true,true,true,true,false,Home/Apartment,House,House/villa,4.9,0,25,1,Luxury,false,25000,true,61,26,2026-05-17,Big Bear,Big Bear Lake,Big Bear Lake,California,92315,United States,mountains_lakes,https://www.vrbo.com/4465042,"https://media.vrbo.com/lodging/114000000/113590000/113586600/113586564/cfc87129.jpg?impolicy=resizecrop&rw=1200&ra=fit",,4465042,34.231283,-116.864009,"=AVERAGE($G$2:$G$677)","=AVERAGE($D$2:$D$677)","=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)","=$AU2-D2"
Lakefront Modern A Frame,Sky High Cabins,,144518,180333,1062.63,53.54,290,3,2,8,true,false,true,true,true,false,false,Home/Apartment,Villa,House/villa,5,7,2,21+,Luxury,false,302,false,136,50,2026-05-11,Big Bear,Big Bear Lake,Big Bear Lake,California,92315,United States,mountains_lakes,https://www.airbnb.com/rooms/964388756034763024,https://a0.muscache.com/im/pictures/miso/Hosting-964388756034763024/original/25ca5649-8c69-4f6c-980f-fa9ceafcde48.jpeg,964388756034763024,3691705,34.24823,-116.93309,"=AVERAGE($G$2:$G$677)","=AVERAGE($D$2:$D$677)","=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)","=$AU3-D3"
Lakeshore Cabin-Hot Tub-Pool Table-Boat Dock-,Big Bear Vacations,,126790,142654,728.68,55.06,316,3,3,8,false,false,false,true,true,true,true,Home/Apartment,Cabin,House/villa,3.95,51,2,21+,Luxury,false,323,true,174,59,2026-05-11,Big Bear,Big Bear Lake,Big Bear Lake,California,92315,United States,mountains_lakes,https://www.airbnb.com/rooms/555285569935730663,https://a0.muscache.com/im/pictures/prohost-api/Hosting-555285569935730663/original/643b98d9-4c95-4cc1-9e76-46a37d3a3bbc.jpeg,555285569935730663,3637972ha,34.2482,-116.9268,"=AVERAGE($G$2:$G$677)","=AVERAGE($D$2:$D$677)","=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)","=$AU4-D4"
"Lakefront A-Frame | Dock, Theater Screen, Views",Sky High Cabins,,120002,152031,839.17,50.35,297,3,2,8,true,false,false,true,true,false,false,Home/Apartment,Cabin,House/villa,4.9,71,2,21+,Luxury,true,278,false,143,50,2026-05-13,Big Bear,Big Bear Lake,Big Bear Lake,California,92315,United States,mountains_lakes,https://www.airbnb.com/rooms/777466601976209770,https://a0.muscache.com/im/pictures/miso/Hosting-777466601976209770/original/f143d5ca-6bec-4890-87c4-625e8c9e0f49.jpeg,777466601976209770,3163985,34.2493,-116.931,"=AVERAGE($G$2:$G$677)","=AVERAGE($D$2:$D$677)","=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)","=$AU5-D5"
Lakeside Family Cabin at Shore Acres Lodge BB,Big Bear Vacations,,117307,123794,627.31,53.74,348,2,2,10,false,false,false,true,true,true,true,Home/Apartment,Cabin,House/villa,4.4,62,1,21+,Luxury,false,325,true,187,70,2026-02-05,Big Bear,Big Bear Lake,Big Bear Lake,California,92315,United States,mountains_lakes,https://www.airbnb.com/rooms/1030761767244835467,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1030761767244835467/original/34b7c421-1baa-4402-b608-b889f1ec4320.jpeg,1030761767244835467,3637976ha,34.2481,-116.9271,"=AVERAGE($G$2:$G$677)","=AVERAGE($D$2:$D$677)","=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)","=$AU6-D6"
Lakeside Family Cabin at Shore Acres Lodge Big Bear,Big Bear Vacations,,114916,127616,592.35,57.74,336,2,2,10,false,false,false,true,true,true,true,Home/Apartment,Cabin,House/villa,4.5,24,1,21+,Luxury,false,124,true,194,76,2026-05-16,Big Bear,Big Bear Lake,Big Bear Lake,California,92315,United States,mountains_lakes,https://www.vrbo.com/3637982ha,"https://media.vrbo.com/lodging/23000000/22260000/22252400/22252390/ba368763.jpg?impolicy=resizecrop&rw=1200&ra=fit",,3637982ha,34.248337,-116.92732,"=AVERAGE($G$2:$G$677)","=AVERAGE($D$2:$D$677)","=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)","=$AU7-D7"
Lakefront Chalet. Pet Friendly. Spa. BBQ. Dock.,SoCal Vacations,,114314,129810,772.39,45.12,328,3,3,14,false,false,true,true,true,true,false,Home/Apartment,House,House/villa,4.75,79,2,21+,Luxury,true,488,true,148,52,2026-05-11,Big Bear,Big Bear Lake,Big Bear Lake,California,,United States,mountains_lakes,https://www.airbnb.com/rooms/51306159,https://a0.muscache.com/im/pictures/prohost-api/Hosting-51306159/original/da831d15-12d2-477a-a35e-06a80b653a9a.jpeg,51306159,2408331,34.244,-116.9203,"=AVERAGE($G$2:$G$677)","=AVERAGE($D$2:$D$677)","=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)","=$AU8-D8"
"4 Season Escape-Cabin in Big Bear-Pool, Jacuzzi",208555267,,112581,119477,765.86,43.24,348,3,3,14,false,false,true,true,true,true,true,Home/Apartment,Cabin,House/villa,4.95,54,2,1,Luxury,true,301,true,147,73,2026-05-17,Big Bear,Big Bear Lake,Big Bear Lake,California,92315,United States,mountains_lakes,https://www.airbnb.com/rooms/1318888983983878080,"https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTMxODg4ODk4Mzk4Mzg3ODA4MA==/original/6c3d3588-58b4-4234-a40f-eb18ca5a7196.jpeg",1318888983983878080,4370558,34.2267236502,-116.8505140154,"=AVERAGE($G$2:$G$677)","=AVERAGE($D$2:$D$677)","=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)","=$AU9-D9"
"Big Bear’s Best: Lake Views, Dock & Fireplace",Big Bear Cool Cabins,,112290,125631,484.01,72.5,320,2,2,5,false,false,false,true,true,true,false,Home/Apartment,Cabin,House/villa,4.6,54,1,21+,Luxury,false,313,true,232,65,2026-05-17,Big Bear,Big Bear Lake,Big Bear Lake,California,92315,United States,mountains_lakes,https://www.airbnb.com/rooms/549258502375764804,https://a0.muscache.com/im/pictures/prohost-api/Hosting-549258502375764804/original/a6630657-2fc7-468b-81c0-5b62164fd7bd.jpeg,549258502375764804,9653452ha,34.25006,-116.9418,"=AVERAGE($G$2:$G$677)","=AVERAGE($D$2:$D$677)","=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)","=$AU10-D10"
Luxury Lakefront Home - Hot Tub & Panoramic Views,36226994,,104767,137581,1047.67,37.88,277,3,2,6,false,false,true,true,true,true,false,Home/Apartment,House,House/villa,4.95,158,1,2-5,Luxury,true,195,false,100,41,2026-05-11,Big Bear,Big Bear Lake,Big Bear Lake,California,92315,United States,mountains_lakes,https://www.airbnb.com/rooms/760756180335337523,https://a0.muscache.com/im/pictures/miso/Hosting-760756180335337523/original/48f9bcd8-6b50-4d0c-8926-4fa1a63e9136.jpeg,760756180335337523,2155372,34.2502,-116.929,"=AVERAGE($G$2:$G$677)","=AVERAGE($D$2:$D$677)","=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)","=$AU11-D11"
Sunrise Lakefront Family Cabin at Shore Acres BB,Big Bear Vacations,,103385,108408,497.04,61.18,340,2,2,7,false,false,false,true,true,true,true,Home/Apartment,Cabin,House/villa,4.45,26,1,21+,Luxury,false,188,true,208,79,2026-05-11,Big Bear,Big Bear Lake,Big Bear Lake,California,92315,United States,mountains_lakes,https://www.airbnb.com/rooms/1030761586482748012,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1030761586482748012/original/32c59057-a36e-44c6-8feb-6e639dee6c2a.jpeg,1030761586482748012,3637981ha,34.2481,-116.9271,"=AVERAGE($G$2:$G$677)","=AVERAGE($D$2:$D$677)","=IFERROR(($AT12-G12)/$AT12,0)","=IFERROR(($AU12-D12)/$AU12,0)","=$AU12-D12"
"Luxury Log Lodge- EV, Game Room, Dogs, SPA, AC, Fenced Acre, Fire Pit, Fireplace",,,99518,122082,771.46,41.88,308,3,2,8,true,false,true,true,true,true,false,Home/Apartment,Cabin,House/villa,5,32,1,1,Luxury,false,275,false,129,47,2026-05-16,Big Bear,Big Bear Lake,Big Bear Lake,California,92315,United States,mountains_lakes,https://www.vrbo.com/2068940,"https://media.vrbo.com/lodging/59000000/58050000/58047900/58047873/w1536h1022x0y2-2ccb7a9d.jpg?impolicy=resizecrop&rw=1200&ra=fit",,2068940,34.241775,-116.882039,"=AVERAGE($G$2:$G$677)","=AVERAGE($D$2:$D$677)","=IFERROR(($AT13-G13)/$AT13,0)","=IFERROR(($AU13-D13)/$AU13,0)","=$AU13-D13"
Waterview Retreat: Hot Tub! Pool Table! Theater!,Destination Big Bear,,95695,100209,559.62,49.28,347,3,3,11,false,false,true,true,true,true,false,Home/Apartment,House,House/villa,4.8,65,2,21+,Luxury,true,282,true,171,54,2026-05-11,Big Bear,Big Bear Lake,Big Bear Lake,California,92315,United States,mountains_lakes,https://www.airbnb.com/rooms/50601226,https://a0.muscache.com/im/pictures/prohost-api/Hosting-50601226/original/182e92dd-daf2-42e6-b10f-9a2da5141556.jpeg,50601226,2365201,34.24562,-116.94754,"=AVERAGE($G$2:$G$677)","=AVERAGE($D$2:$D$677)","=IFERROR(($AT14-G14)/$AT14,0)","=IFERROR(($AU14-D14)/$AU14,0)","=$AU14-D14"
Luxury Lakefront | Hot Tub | Fire Pit | Game Room,35906501,,93812,114879,646.98,49.49,293,3,2,5,true,false,false,true,true,true,false,Home/Apartment,Cabin,House/villa,4.9,111,2,2-5,Luxury,true,390,false,145,52,2026-04-05,Big Bear,Big Bear Lake,Big Bear Lake,California,92315,United States,mountains_lakes,https://www.airbnb.com/rooms/1111129354583205276,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1111129354583205276/original/4b798005-24ff-4c51-80e5-45ee3b80f1b0.jpeg,1111129354583205276,4032961,34.238,-116.9532,"=AVERAGE($G$2:$G$677)","=AVERAGE($D$2:$D$677)","=IFERROR(($AT15-G15)/$AT15,0)","=IFERROR(($AU15-D15)/$AU15,0)","=$AU15-D15"
