Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
6000 square feet! Views!,Prime Properties,,390727,421004,5745.99,42.5,175,9,6,16,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,0,0,3,21+,Luxury,true,600,true,68,10,2025-04-24,Utah Area,Garden City,Garden City,Utah,84028,United States,mountains_lakes,https://www.airbnb.com/rooms/1403739770847276069,https://a0.muscache.com/im/pictures/miso/Hosting-1403739770847276069/original/4da675a2-886c-41db-a01d-2555e955c5b5.jpeg,1403739770847276069,,41.9302628,-111.429291,=AVERAGE($G$2:$G$216),=AVERAGE($D$2:$D$216),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Waterdance Entire Triplex-Sleeps 110-25B/20BA,Waterdance,,306283,639376,4940.05,32.98,245,24,20,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,4,2,21+,Luxury,true,1200,true,62,23,2026-05-13,Utah Area,Garden City,Garden City,Utah,84028,United States,mountains_lakes,https://www.airbnb.com/rooms/32128473,https://a0.muscache.com/im/pictures/acc12e29-180b-4839-bfaf-1dc49b044d39.jpg,32128473,1558152,41.94425,-111.39714,=AVERAGE($G$2:$G$216),=AVERAGE($D$2:$D$216),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
The Inn at Bear Lake! Family Reunion or Big Group!,457446208,,241337,250685,3447.67,41.92,344,18,19,16,true,false,true,true,true,false,true,Home/Apartment,Vacation home,House/villa,4,3,2,1,Luxury,false,1353,true,70,18,2026-05-16,Utah Area,Garden City,Garden City,Utah,84028,United States,mountains_lakes,https://www.airbnb.com/rooms/619466861444412972,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjE5NDY2ODYxNDQ0NDEyOTcy/original/a8614716-37dd-4640-b5f3-40025d00079c.jpeg,619466861444412972,2874831,41.9475,-111.40501,=AVERAGE($G$2:$G$216),=AVERAGE($D$2:$D$216),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
"Bear Lake Big House, Indoor Playground, Sleeps 47",253540630,,238973,255709,2114.81,40.5,340,9,6,16,true,true,false,true,true,false,false,Home/Apartment,House,House/villa,5,183,2,2-5,Luxury,false,702,false,113,28,2026-05-13,Utah Area,Garden City,Garden City,Utah,84028,United States,mountains_lakes,https://www.airbnb.com/rooms/33642519,https://a0.muscache.com/im/pictures/miso/Hosting-33642519/original/bb96fc47-cb09-4245-ad7e-5718680386ff.jpeg,33642519,1570971,41.93356,-111.40519,=AVERAGE($G$2:$G$216),=AVERAGE($D$2:$D$216),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
"Monster of a House With Theatre, hot tub, & more!",386115313,,226841,243349,1906.23,41.75,334,14,10,16,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.95,18,4,2-5,Luxury,true,699,true,119,30,2026-05-11,Utah Area,Garden City,Garden City,Utah,84028,United States,mountains_lakes,https://www.airbnb.com/rooms/47902305,https://a0.muscache.com/im/pictures/a3674e67-e047-4115-a1fc-62cc6479480b.jpg,47902305,,41.92855,-111.40107,=AVERAGE($G$2:$G$216),=AVERAGE($D$2:$D$216),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Bear Lake Farmhouses Sleeps 90+,72972235,,189431,202432,2959.86,54.7,355,18,14,16,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,35,3,6-20,Luxury,true,999,false,64,14,2026-05-14,Utah Area,Garden City,Garden City,Utah,84028,United States,mountains_lakes,https://www.airbnb.com/rooms/1325512592066715536,https://a0.muscache.com/im/pictures/miso/Hosting-1325512592066715536/original/50cfeef3-6b77-4a8b-b9fb-094b8bffa78a.jpeg,1325512592066715536,1222573,41.92811,-111.3987,=AVERAGE($G$2:$G$216),=AVERAGE($D$2:$D$216),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Papa Bear Lodge (Sleeps 52),Bear Lake Luxury Rentals,,179809,216778,2192.79,40.8,271,15,8,16,true,true,true,true,true,false,false,Home/Apartment,Cabin,House/villa,5,19,2,21+,Luxury,true,1057,true,82,20,2026-05-11,Utah Area,Garden City,Garden City,Utah,84028,United States,mountains_lakes,https://www.airbnb.com/rooms/594063026670331204,https://a0.muscache.com/im/pictures/prohost-api/Hosting-594063026670331204/original/a1864925-c05d-4c64-9d67-1a06e426c48f.jpeg,594063026670331204,9675647ha,41.94246,-111.39296,=AVERAGE($G$2:$G$216),=AVERAGE($D$2:$D$216),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Barn and Cedar Farmhouse at Bear Lake (Sleeps 40),Bear Lake Luxury Rentals,,161359,221011,1716.59,38.68,290,10,7,16,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,4.55,11,2,21+,Luxury,true,1266,false,94,25,2026-05-11,Utah Area,Garden City,Garden City,Utah,84028,United States,mountains_lakes,https://www.airbnb.com/rooms/43931396,https://a0.muscache.com/im/pictures/prohost-api/Hosting-43931396/original/20a542a4-1577-4fc1-a07e-58cdc7e4231f.jpeg,43931396,,41.93726,-111.39843,=AVERAGE($G$2:$G$216),=AVERAGE($D$2:$D$216),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Hot Tub+Spacious+Pickleball/Basketball+Sleeps 9!,Prime Properties,,154005,229247,4052.76,51.35,95,2,2,9,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,2,90,21+,Luxury,true,230,true,38,10,2026-01-01,Utah Area,Garden City,Garden City,Utah,84028,United States,mountains_lakes,https://www.airbnb.com/rooms/1366185575253809840,https://a0.muscache.com/im/pictures/miso/Hosting-1366185575253809840/original/a6c40d3b-f661-4b1d-864a-5186b51855e9.jpeg,1366185575253809840,4470971,41.9418276255,-111.3957096967,=AVERAGE($G$2:$G$216),=AVERAGE($D$2:$D$216),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Raspberry Retreat ~ Private Hot Tub ~ Indoor Pickl,Manage It Bear Lake,,140326,146087,1031.81,42.24,347,5,5,16,true,false,true,true,true,true,false,Home/Apartment,House,House/villa,4.85,12,2,21+,Luxury,true,515,true,136,41,2026-05-13,Utah Area,Garden City,Garden City,Utah,84028,United States,mountains_lakes,https://www.airbnb.com/rooms/1364156571659290395,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1364156571659290395/original/8a5318bc-8bfe-41b1-8a8d-7f622c3a2780.jpeg,1364156571659290395,4452257,41.9189,-111.4012,=AVERAGE($G$2:$G$216),=AVERAGE($D$2:$D$216),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
