Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
The Pickleball Gathering Place,Basinview Lodging,,146566,204539,1395.87,40.7,290,10,9,16,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.95,18,5,21+,Luxury,true,750,true,105,23,2026-05-11,Ogden,Huntsville,Huntsville,Utah,84317,United States,mid_size_city,https://www.airbnb.com/rooms/1039487881877133878,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1039487881877133878/original/be4d3b6b-d229-4646-a88b-fae9cbba1950.jpeg,1039487881877133878,3747450,41.24908,-111.79437,=AVERAGE($G$2:$G$112),=AVERAGE($D$2:$D$112),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
"15-Acre Private Retreat | Pickleball, Sauna, Eden",464320376,,119578,137009,1494.72,34.93,322,6,4,16,true,true,true,true,true,false,false,Home/Apartment,Cabin,House/villa,4.95,41,3,1,Luxury,true,681,true,80,20,2026-05-13,Ogden,Huntsville,Huntsville,Utah,84317,United States,mid_size_city,https://www.airbnb.com/rooms/649501991349853841,https://a0.muscache.com/im/pictures/prohost-api/Hosting-649501991349853841/original/cce1dc92-325c-4f08-a47b-e14084f44e92.jpeg,649501991349853841,2849872,41.25584,-111.8128,=AVERAGE($G$2:$G$112),=AVERAGE($D$2:$D$112),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Snowberry Inn: Large Kitchen & Gathering Room 9BR 11BA Ensuite bath in all rooms,,,113051,155702,1487.51,35.35,283,9,9,40,true,false,true,true,true,false,false,Home/Apartment,Cabin,House/villa,5,15,3,1,Luxury,false,700,true,76,20,2026-05-14,Ogden,Huntsville,Eden,Utah,84310,United States,mid_size_city,https://www.vrbo.com/4381772,https://media.vrbo.com/lodging/113000000/112180000/112173600/112173560/c533bc43.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4381772,41.282788,-111.823097,=AVERAGE($G$2:$G$112),=AVERAGE($D$2:$D$112),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
NEW Luxury Home by Snowbasin & Pow Mow. 30 Day Min,5308304,,86921,158943,1174.61,81.32,154,7,7,16,true,false,true,true,true,true,false,Home/Apartment,House,House/villa,5,4,3,6-20,Luxury,true,729,false,74,11,2026-05-13,Ogden,Huntsville,Huntsville,Utah,84317,United States,mid_size_city,https://www.airbnb.com/rooms/1181392126484389894,https://a0.muscache.com/im/pictures/miso/Hosting-1181392126484389894/original/bb652b5b-aaa0-4c8a-9ce0-1b86fe821063.jpeg,1181392126484389894,4276640,41.2486,-111.7947,=AVERAGE($G$2:$G$112),=AVERAGE($D$2:$D$112),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Pineview Lake Lodge,72109876,,81124,83269,717.91,38.83,359,5,4,12,true,false,true,true,true,true,true,Home/Apartment,Cabin,House/villa,4.8,38,3,1,Luxury,false,500,false,113,22,2024-10-09,Ogden,Huntsville,Huntsville,Utah,84317,United States,mid_size_city,https://www.airbnb.com/rooms/868005305495173742,https://a0.muscache.com/im/pictures/miso/Hosting-868005305495173742/original/0bea8f9c-78a4-4243-ace1-387b584b350d.jpeg,868005305495173742,2103689,41.24538,-111.78738,=AVERAGE($G$2:$G$112),=AVERAGE($D$2:$D$112),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Luxury Lake Front Ski Home near Snow Basin,126533080,,79897,100784,746.7,38.77,298,6,5,10,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,105,2,1,Luxury,true,450,true,107,29,2026-05-13,Ogden,Huntsville,Huntsville,Utah,84317,United States,mid_size_city,https://www.airbnb.com/rooms/629975497811675124,https://a0.muscache.com/im/pictures/miso/Hosting-629975497811675124/original/a6fbd690-fc80-4460-a687-e355aa17124b.jpeg,629975497811675124,2820662,41.2525,-111.7964,=AVERAGE($G$2:$G$112),=AVERAGE($D$2:$D$112),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
"Cozy Cabin with Views, Four King Beds & Hot Tub!",240012444,,77537,87882,994.06,41.94,328,5,3,16,true,false,true,true,true,false,false,Home/Apartment,Cabin,House/villa,4.95,34,4,1,Luxury,false,501,false,78,11,2026-05-15,Ogden,Huntsville,Huntsville,Utah,84317,United States,mid_size_city,https://www.airbnb.com/rooms/51639433,https://a0.muscache.com/im/pictures/3d67c796-f059-45f3-928c-3827794bf356.jpg,51639433,2681823,41.24629,-111.7869,=AVERAGE($G$2:$G$112),=AVERAGE($D$2:$D$112),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Beautiful Lakehouse by 3 ski resorts. 5 en-suites,168022368,,67670,69896,615.18,38.6,353,4,6,14,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.9,55,3,1,Luxury,false,295,true,110,24,2026-05-13,Ogden,Huntsville,Huntsville,Utah,84317,United States,mid_size_city,https://www.airbnb.com/rooms/608005073984404741,https://a0.muscache.com/im/pictures/miso/Hosting-608005073984404741/original/247bb93c-e41a-4894-9cb0-017d25469703.jpeg,608005073984404741,2606187,41.25105,-111.79633,=AVERAGE($G$2:$G$112),=AVERAGE($D$2:$D$112),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
"Nordic Valley Slope Side Ski-In Home, Indoor GYM",207395152,,60192,68963,792,24.36,348,6,4,16,true,true,false,true,true,false,false,Home/Apartment,Cabin,House/villa,4.85,88,2,2-5,Luxury,true,299,true,76,31,2026-05-13,Ogden,Huntsville,Eden,Utah,84310,United States,mid_size_city,https://www.airbnb.com/rooms/643749439328246834,https://a0.muscache.com/im/pictures/5d27cd58-a2a3-4289-ab48-e88145f7bfb0.jpg,643749439328246834,2897151,41.3123,-111.8644,=AVERAGE($G$2:$G$112),=AVERAGE($D$2:$D$112),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Gorgeous Snowbasin Lodging W/ Private Hot Tub,Mountain Luxury Lodging,,57141,60870,627.92,33.83,328,4,4,8,true,false,true,true,true,false,true,Home/Apartment,Townhouse,Apt/Condo/Loft,5,13,2,21+,Luxury,true,478,true,91,16,2026-04-25,Ogden,Huntsville,Huntsville,Utah,84317,United States,mid_size_city,https://www.airbnb.com/rooms/26538254,https://a0.muscache.com/im/pictures/prohost-api/Hosting-26538254/original/36193d3c-872c-4b6b-a8c4-56a9ecab18d3.jpeg,26538254,7438823ha,41.24996,-111.79538,=AVERAGE($G$2:$G$112),=AVERAGE($D$2:$D$112),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
