Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
8 Acre Estate I Swimming Pool & Hot Tubs I 8 Homes,Utah Escapes,,171954,595474,3126.44,83.33,130,24,22,16,true,false,false,true,true,true,true,Home/Apartment,House,House/villa,0,0,3,21+,Luxury,true,1000,false,55,13,2026-05-17,Utah Area,Kanab,Kanab,Utah,84741,United States,rural,https://www.airbnb.com/rooms/1325486572197505078,https://a0.muscache.com/im/pictures/hosting/Hosting-1325486572197505078/original/ee1344de-ed66-459b-895e-d56b4e95d971.jpeg,1325486572197505078,4364913,37.0128,-112.4338,=AVERAGE($G$2:$G$56),=AVERAGE($D$2:$D$56),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Private Pool+Hot Tub! Near Zion+Bryce! Sleeps 12!,459961009,,107954,111668,488.48,62.25,355,3,3,12,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.95,66,4,6-20,Luxury,true,364,true,221,55,2026-05-17,Utah Area,Kanab,Kanab,Utah,84741,United States,rural,https://www.airbnb.com/rooms/1158258328924510567,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTE1ODI1ODMyODkyNDUxMDU2Nw==/original/d0d5d975-a81b-481a-af27-f55a3d3dff2b.jpeg,1158258328924510567,4009942,37.01559,-112.43537,=AVERAGE($G$2:$G$56),=AVERAGE($D$2:$D$56),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Artful Southwest Retreat Below Red Cliffs,18875222,,97773,98247,328.1,82.09,363,2,2,4,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,271,2,2-5,Luxury,true,0,false,298,90,2026-05-17,Utah Area,Kanab,Kanab,Utah,84741,United States,rural,https://www.airbnb.com/rooms/651305872134021581,https://a0.muscache.com/im/pictures/miso/Hosting-651305872134021581/original/cc43d932-aed1-4d5d-9503-a9bde455b53d.jpeg,651305872134021581,2910285,37.0288,-112.4373,=AVERAGE($G$2:$G$56),=AVERAGE($D$2:$D$56),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
"Luxury Kanab Home w/ Pool, Hot Tub Near Zion",55940314,,92611,100692,634.32,45.91,337,4,3,10,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,84,2,2-5,Luxury,true,328,true,146,38,2026-05-11,Utah Area,Kanab,Kanab,Utah,84741,United States,rural,https://www.airbnb.com/rooms/803556550194695368,https://a0.muscache.com/im/pictures/prohost-api/Hosting-803556550194695368/original/1f59f21d-5728-48aa-83a2-c60b4434ddfa.jpeg,803556550194695368,3212251,37.0297,-112.5467,=AVERAGE($G$2:$G$56),=AVERAGE($D$2:$D$56),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Boutique Southwest Adobe,9289669,,86272,87836,290.48,82.73,359,1,1,2,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,405,2,2-5,Luxury,true,0,false,297,97,2026-05-17,Utah Area,Kanab,Kanab,Utah,84741,United States,rural,https://www.airbnb.com/rooms/43729170,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDM3MjkxNzA%3D/original/3ab0256a-d1e7-4db2-b8dc-a84d399e8cd8.jpeg,43729170,,37.0264,-112.5512,=AVERAGE($G$2:$G$56),=AVERAGE($D$2:$D$56),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Creative's Log Cabin Hideaway Gorgeous Cliff Views,9289669,,83282,87503,273.06,87.39,349,1,1,2,true,false,false,true,true,false,false,Home/Apartment,Cabin,House/villa,5,115,2,2-5,Luxury,true,0,false,305,98,2026-05-17,Utah Area,Kanab,Kanab,Utah,84741,United States,rural,https://www.airbnb.com/rooms/1278361999758259891,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTI3ODM2MTk5OTc1ODI1OTg5MQ%3D%3D/original/e56b356e-5e10-4d37-a600-3051d7ce4966.jpeg,1278361999758259891,,37.03968,-112.5523,=AVERAGE($G$2:$G$56),=AVERAGE($D$2:$D$56),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Artistic Log Cabin on 2.7 Acres,9289669,,72580,73107,274.92,73.13,361,2,2,4,true,false,false,true,true,false,false,Home/Apartment,Cabin,House/villa,5,277,2,2-5,Luxury,true,0,false,264,75,2026-05-17,Utah Area,Kanab,Kanab,Utah,84741,United States,rural,https://www.airbnb.com/rooms/53603779,https://a0.muscache.com/im/pictures/miso/Hosting-53603779/original/6393913f-7b41-4057-baf5-f88db68ab9ce.jpeg,53603779,2617471,37.0266,-112.4251,=AVERAGE($G$2:$G$56),=AVERAGE($D$2:$D$56),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
White Camel - Dome #1,,,68161,80679,250.59,88.6,307,1,1,4,true,false,false,true,false,false,false,Home/Apartment,House,House/villa,5,1,1,1,Luxury,false,0,true,272,201,2026-05-16,Utah Area,Kanab,Kanab,Utah,84741,United States,rural,https://www.vrbo.com/4000852,https://media.vrbo.com/lodging/106000000/105120000/105119800/105119787/1c3f2057.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4000852,37.02522,-112.427663,=AVERAGE($G$2:$G$56),=AVERAGE($D$2:$D$56),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
"Hot Tub-Views-Outdoor Lounge, Dining/Patio & Games",156871667,,68106,69475,300.03,63.59,357,2,2,7,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,176,2,2-5,Luxury,false,208,false,227,62,2026-05-17,Utah Area,Kanab,Kanab,Utah,84741,United States,rural,https://www.airbnb.com/rooms/606601639619760602,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjA2NjAxNjM5NjE5NzYwNjAy/original/42d941df-13fb-42c7-8d14-1388dd586516.jpeg,606601639619760602,3054377,37.02772,-112.54096,=AVERAGE($G$2:$G$56),=AVERAGE($D$2:$D$56),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Family Oasis w/ Private Pool & Hot Tub Near Parks,Zion Stays,,66924,70153,649.75,33.55,345,4,4,14,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.95,35,2,21+,Luxury,true,326,true,103,30,2026-05-13,Utah Area,Kanab,Kanab,Utah,84741,United States,rural,https://www.airbnb.com/rooms/1370561406995396961,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1370561406995396961/original/d3b6f3bb-ec30-4482-bcdc-9de95b8f97d1.jpeg,1370561406995396961,4467179,37.0153,-112.4627,=AVERAGE($G$2:$G$56),=AVERAGE($D$2:$D$56),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
