Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Majestic Home W/Private Hot Tub + Incredible Views,Family Time Vacation Rentals,,59679,60668,342.98,51.48,358,3,2,6,true,false,true,true,true,true,false,Home/Apartment,House,House/villa,4.75,37,3,21+,Luxury,false,409,true,174,30,2026-05-16,Ogden,Downtown Ogden,Ogden,Utah,84404,United States,mid_size_city,https://www.airbnb.com/rooms/649183967120008836,https://a0.muscache.com/im/pictures/prohost-api/Hosting-649183967120008836/original/e1ff0120-8fc3-453b-87a8-c291859787ac.jpeg,649183967120008836,3840388,41.2743,-111.948,=AVERAGE($G$2:$G$63),=AVERAGE($D$2:$D$63),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Family Ski Cabin with Pool & hot tub,535391959,,57096,59903,315.45,53.08,347,3,3,12,true,false,true,true,true,true,true,Home/Apartment,Cabin,House/villa,4.9,97,2,1,Luxury,true,148,false,181,47,2026-05-11,Ogden,Downtown Ogden,Ogden,Utah,84414,United States,mid_size_city,https://www.airbnb.com/rooms/993684887698566146,https://a0.muscache.com/im/pictures/miso/Hosting-993684887698566146/original/bfb73835-617e-4186-b0a8-608137b62b2c.jpeg,993684887698566146,4891596,41.3135,-111.9881,=AVERAGE($G$2:$G$63),=AVERAGE($D$2:$D$63),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
2 Homes • Pickleball court • Hot Tubs • Pool Table,223037023,,48459,52222,1425.26,45.33,83,12,8,16,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,0,0,3,6-20,Luxury,true,895,false,34,9,2026-05-11,Ogden,Downtown Ogden,Ogden,Utah,84401,United States,mid_size_city,https://www.airbnb.com/rooms/1615028975282373036,https://a0.muscache.com/im/pictures/hosting/Hosting-1615028975282373036/original/4f763e53-238d-41ee-bc2c-35301e061330.png,1615028975282373036,,41.2239,-112.0448,=AVERAGE($G$2:$G$63),=AVERAGE($D$2:$D$63),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Historic Elegance with Balcony Downtown View,706187126,,37376,41009,308.89,67.6,220,2,2,6,true,false,false,true,true,false,false,Home/Apartment,Loft,Apt/Condo/Loft,4.6,5,4,2-5,Luxury,false,300,false,121,19,2026-05-15,Ogden,Downtown Ogden,Ogden,Utah,84401,United States,mid_size_city,https://www.airbnb.com/rooms/1461197457292404602,https://a0.muscache.com/im/pictures/miso/Hosting-1461197457292404602/original/be3de04b-9b37-47a5-af66-133fe2983afe.jpeg,1461197457292404602,4730586,41.2259,-111.9698,=AVERAGE($G$2:$G$63),=AVERAGE($D$2:$D$63),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Scenic Patio & Views! Stay 10 Mi to Nordic Valley,Evolve,,28795,31891,195.88,63.36,326,2,1,6,true,false,false,true,true,true,false,Home/Apartment,Apartment,Apt/Condo/Loft,4.65,3,28,21+,Luxury,false,225,true,147,10,2026-05-17,Ogden,Downtown Ogden,Ogden,Utah,84414,United States,mid_size_city,https://www.airbnb.com/rooms/1345628911622737465,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1345628911622737465/original/8afc16fd-2eeb-4dee-ad76-1d716048b954.jpeg,1345628911622737465,20106426ha,41.3177,-111.982,=AVERAGE($G$2:$G$63),=AVERAGE($D$2:$D$63),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Private 3BR basement aprt. in amazing location!,532786039,,27600,27600,101.47,99.63,273,3,1,8,true,false,false,true,true,true,false,Private Room,House,House/villa,4.9,13,2,2-5,Luxury,false,147,false,272,3,2026-04-22,Ogden,South Ogden,Ogden,Utah,84403,United States,mid_size_city,https://www.airbnb.com/rooms/961716915744267247,https://a0.muscache.com/im/pictures/miso/Hosting-961716915744267247/original/f1a475b4-2297-440f-9e8a-0f12122feb88.jpeg,961716915744267247,,41.15772,-111.92451,=AVERAGE($G$2:$G$63),=AVERAGE($D$2:$D$63),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
The Windsor on Historic 25th,69274473,,27017,27100,115.95,69.76,364,1,1,3,true,false,false,true,true,false,false,Home/Apartment,Apartment,Apt/Condo/Loft,4.7,21,3,6-20,Luxury,false,0,false,233,25,2026-05-14,Ogden,Downtown Ogden,Ogden,Utah,84401,United States,mid_size_city,https://www.airbnb.com/rooms/839028618853512457,https://a0.muscache.com/im/pictures/miso/Hosting-839028618853512457/original/85f987c5-f52d-43b9-a983-fd999eaf0b1d.jpeg,839028618853512457,3289658,41.22036,-111.97706,=AVERAGE($G$2:$G$63),=AVERAGE($D$2:$D$63),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Red-Orange Door Mountain Retreat/Hot Tub,327201231,,26445,39793,254.28,42.45,265,2,2,6,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,5,1,2-5,Luxury,false,45,false,104,28,2026-05-17,Ogden,South Ogden,Ogden,Utah,84403,United States,mid_size_city,https://www.airbnb.com/rooms/797467370167943038,https://a0.muscache.com/im/pictures/ae4ac94e-2935-4960-8074-5e6ea0704dbf.jpg,797467370167943038,,41.1512,-111.91832,=AVERAGE($G$2:$G$63),=AVERAGE($D$2:$D$63),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Loft Living on Historic 25th,69274473,,25985,27748,87.2,85.63,348,1,1,3,true,false,false,true,true,false,false,Home/Apartment,Apartment,Apt/Condo/Loft,4.85,7,3,6-20,Luxury,false,0,false,298,8,2026-05-14,Ogden,Downtown Ogden,Ogden,Utah,84401,United States,mid_size_city,https://www.airbnb.com/rooms/839062524963619135,https://a0.muscache.com/im/pictures/miso/Hosting-839062524963619135/original/f76ffe2e-b754-46c1-8129-f5861c248706.jpeg,839062524963619135,3290867,41.2205,-111.97578,=AVERAGE($G$2:$G$63),=AVERAGE($D$2:$D$63),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
Heart of Historic 25th Street,69274473,,25445,25526,146.24,52.73,364,2,2,8,true,false,false,true,true,false,false,Home/Apartment,Apartment,Apt/Condo/Loft,4.45,19,3,6-20,Luxury,false,0,false,174,22,2026-05-17,Ogden,Downtown Ogden,Ogden,Utah,84401,United States,mid_size_city,https://www.airbnb.com/rooms/1070593504682062646,https://a0.muscache.com/im/pictures/miso/Hosting-1070593504682062646/original/7df5f54f-8951-4fb8-8f73-e2a017032bb2.jpeg,1070593504682062646,3810935,41.2204,-111.9756,=AVERAGE($G$2:$G$63),=AVERAGE($D$2:$D$63),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
