Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
4br Modern Home near Snow Canyon and Tuacahn,160861866,,116203,136342,500.88,74.12,313,4,4,8,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,33,2,2-5,Luxury,true,296,true,232,68,2026-05-17,St. George,Santa Clara,Ivins,Utah,84738,United States,mountains_lakes,https://www.airbnb.com/rooms/53033747,https://a0.muscache.com/im/pictures/miso/Hosting-53033747/original/8e02123e-16dd-4de7-906f-8fc8f62415f0.jpeg,53033747,2610238,37.16752,-113.6489,=AVERAGE($G$2:$G$33),=AVERAGE($D$2:$D$33),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Luxury Home with Red Rock Views,396120979,,102781,113202,615.46,52.52,327,4,4,8,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,43,2,1,Luxury,true,280,false,167,40,2026-05-13,St. George,Santa Clara,Ivins,Utah,84738,United States,mountains_lakes,https://www.airbnb.com/rooms/1150796203466716446,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTE1MDc5NjIwMzQ2NjcxNjQ0Ng%3D%3D/original/b511cb8e-e801-4395-8afd-ecf478487f9e.jpeg,1150796203466716446,3887633,37.1696,-113.64922,=AVERAGE($G$2:$G$33),=AVERAGE($D$2:$D$33),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Snow Canyon Luxury Home #9: Private Hot Tub,Red Rock Vacation Rentals,,98299,101394,479.51,57.75,355,3,3,11,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.95,55,3,21+,Luxury,true,311,true,205,57,2026-05-17,St. George,Santa Clara,Ivins,Utah,84738,United States,mountains_lakes,https://www.airbnb.com/rooms/861583282555649433,https://a0.muscache.com/im/pictures/prohost-api/Hosting-861583282555649433/original/792f4797-7960-4563-a78b-aac6799a26e3.jpeg,861583282555649433,3335695,37.169,-113.6498,=AVERAGE($G$2:$G$33),=AVERAGE($D$2:$D$33),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Snow Canyon Sanctuary #8: Mountain Views,Red Rock Vacation Rentals,,88586,90512,494.89,51,358,4,4,12,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,4.95,24,3,21+,Luxury,true,311,true,179,46,2026-05-10,St. George,Santa Clara,Ivins,Utah,84738,United States,mountains_lakes,https://www.airbnb.com/rooms/984789783078307497,https://a0.muscache.com/im/pictures/prohost-api/Hosting-984789783078307497/original/761aefb3-2028-490d-a15c-812b5bbc9dcc.jpeg,984789783078307497,3620408,37.1687,-113.6497,=AVERAGE($G$2:$G$33),=AVERAGE($D$2:$D$33),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
"Luxury Home at Snow Canyon, Pool, Gym, Pickleball",156262986,,87479,122040,426.73,80.39,263,3,3,6,true,true,false,true,true,false,true,Home/Apartment,House,House/villa,4.95,30,2,2-5,Luxury,true,201,true,205,58,2026-05-17,St. George,Santa Clara,Ivins,Utah,84738,United States,mountains_lakes,https://www.airbnb.com/rooms/47570167,https://a0.muscache.com/im/pictures/8f52b6a0-0ece-4680-852d-de909b9cb09d.jpg,47570167,,37.16907,-113.6482,=AVERAGE($G$2:$G$33),=AVERAGE($D$2:$D$33),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Snow Canyon Retreat #13: Stunning Views,Red Rock Vacation Rentals,,79134,85780,488.48,49.24,329,3,3,10,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,5,93,3,21+,Luxury,true,310,true,162,43,2026-05-11,St. George,Santa Clara,Ivins,Utah,84738,United States,mountains_lakes,https://www.airbnb.com/rooms/30793233,https://a0.muscache.com/im/pictures/prohost-api/Hosting-30793233/original/ad78d396-4348-410d-b332-51f086a33fab.jpeg,30793233,1509543,37.1688,-113.6486,=AVERAGE($G$2:$G$33),=AVERAGE($D$2:$D$33),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Serene Views:  Luxurious 3 bedroom home,Red Rock Vacation Rentals,,75713,77809,364,58.26,357,3,3,6,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.95,15,3,21+,Luxury,true,314,true,208,54,2026-05-11,St. George,Santa Clara,Ivins,Utah,84738,United States,mountains_lakes,https://www.airbnb.com/rooms/1346505083569923541,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1346505083569923541/original/68ffe124-1f61-4603-a578-1d0a7f23ffca.jpeg,1346505083569923541,4411208,37.1676,-113.6479,=AVERAGE($G$2:$G$33),=AVERAGE($D$2:$D$33),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Stunning Snow Canyon Views from this Private Location in High End Community,,,75388,94753,489.53,53.47,296,3,3,6,true,true,true,true,true,true,true,Home/Apartment,House,House/villa,5,86,3,1,Luxury,false,200,true,154,39,2026-05-17,St. George,Santa Clara,Ivins,Utah,84738,United States,mountains_lakes,https://www.vrbo.com/2059056,https://media.vrbo.com/lodging/58000000/57810000/57804800/57804789/a44b6bd1.jpg?impolicy=resizecrop&rw=1200&ra=fit,,2059056,37.167795,-113.652052,=AVERAGE($G$2:$G$33),=AVERAGE($D$2:$D$33),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
The Yucca Flower #11: Dog Friendly + Luxury Home,Red Rock Vacation Rentals,,71187,73166,332.65,72.54,327,3,3,10,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,26,3,21+,Luxury,true,311,true,214,46,2026-05-17,St. George,Santa Clara,Ivins,Utah,84738,United States,mountains_lakes,https://www.airbnb.com/rooms/1448020707729385392,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1448020707729385392/original/265476e9-4e74-4b87-bc6d-94d484acf2cc.jpeg,1448020707729385392,4657090,37.1688,-113.6492,=AVERAGE($G$2:$G$33),=AVERAGE($D$2:$D$33),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
1 Casa Encanto: Stunning! In Parade Of Homes,Red Rock Vacation Rentals,,70411,73752,533.42,39.05,351,4,4,10,true,true,false,true,true,false,true,Home/Apartment,House,House/villa,4.95,56,3,21+,Luxury,true,321,true,132,35,2026-05-11,St. George,Santa Clara,Ivins,Utah,84738,United States,mountains_lakes,https://www.airbnb.com/rooms/49132540,https://a0.muscache.com/im/pictures/prohost-api/Hosting-49132540/original/d626466a-2442-40c0-8195-2dd55a7af691.jpeg,49132540,2267608,37.1685,-113.6492,=AVERAGE($G$2:$G$33),=AVERAGE($D$2:$D$33),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
Encanto Welcome to luxury.,380042290,,68634,69331,490.24,40.11,360,3,3,8,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.95,42,2,2-5,Luxury,true,225,false,140,36,2026-05-11,St. George,Santa Clara,Ivins,Utah,84738,United States,mountains_lakes,https://www.airbnb.com/rooms/1026969216532602822,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTAyNjk2OTIxNjUzMjYwMjgyMg%3D%3D/original/173f0e76-6fab-4eff-b9af-23bf7c08764c.png,1026969216532602822,,37.1687,-113.6487,=AVERAGE($G$2:$G$33),=AVERAGE($D$2:$D$33),"=IFERROR(($AT12-G12)/$AT12,0)","=IFERROR(($AU12-D12)/$AU12,0)",=$AU12-D12
