Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
"Zion Oasis-Retreat,Reunion,Weddings, pool slps 56",188142910,,686837,915034,3558.74,68.44,284,9,12,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.85,7,3,2-5,Luxury,true,950,true,193,46,2026-05-11,St. George,Springdale,Springdale,Utah,84767,United States,mountains_lakes,https://www.airbnb.com/rooms/37079856,https://a0.muscache.com/im/pictures/70c114a6-b105-4288-b383-900450611079.jpg,37079856,,37.18702,-113.00206,=AVERAGE($G$2:$G$280),=AVERAGE($D$2:$D$280),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
"ZION Villa wedding, reunion, retreat, ect slps 58",209499469,,545023,683624,3657.87,57.53,277,11,10,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,4,3,1,Luxury,false,953,true,149,32,2026-05-17,St. George,Springdale,Rockville,Utah,84763,United States,mountains_lakes,https://www.airbnb.com/rooms/848054783299875883,https://a0.muscache.com/im/pictures/miso/Hosting-848054783299875883/original/1c58c42a-fe27-4d01-9e16-22e9b0ec1cf2.jpeg,848054783299875883,,37.15939,-113.06481,=AVERAGE($G$2:$G$280),=AVERAGE($D$2:$D$280),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Zion Red Rock Oasis.,,,364990,857971,4679.36,60,154,8,10,56,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,22,3,1,Luxury,false,900,true,78,21,2026-05-01,St. George,Springdale,Rockville,Utah,84763,United States,mountains_lakes,https://www.vrbo.com/7157130ha,https://media.vrbo.com/lodging/30000000/29490000/29486700/29486654/821536e4.jpg?impolicy=resizecrop&rw=1200&ra=fit,,7157130ha,37.16,-113.06147,=AVERAGE($G$2:$G$280),=AVERAGE($D$2:$D$280),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
"Zion Reunions Retreats Weddings: Sleeps 58 ppl Pvt: Pool,Theater,Pickleball",,,298047,719519,3973.96,51.37,166,12,10,58,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,2,3,1,Luxury,false,951,true,75,24,2026-03-01,St. George,Springdale,Rockville,Utah,84763,United States,mountains_lakes,https://www.vrbo.com/3300049,https://media.vrbo.com/lodging/92000000/91960000/91959900/91959873/d519147a.jpg?impolicy=resizecrop&rw=1200&ra=fit,,3300049,37.15951,-113.06915,=AVERAGE($G$2:$G$280),=AVERAGE($D$2:$D$280),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Luxury Desert Retreat|Elevation 40 Zion,533863232,,206962,210605,706.35,82.3,356,2,1,7,true,false,true,true,true,false,false,Home/Apartment,Cabin,House/villa,5,176,2,1,Luxury,true,180,false,293,102,2026-05-17,St. George,Springdale,Hurricane,Utah,84737,United States,mountains_lakes,https://www.airbnb.com/rooms/965995831438864025,https://a0.muscache.com/im/pictures/miso/Hosting-965995831438864025/original/0c282567-3fe0-4e11-bd8a-d925c58dbe3a.jpeg,965995831438864025,3867798,37.0562,-113.0509,=AVERAGE($G$2:$G$280),=AVERAGE($D$2:$D$280),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
New! Zion Blvd House,477726337,,182100,214962,1117.18,52.75,309,3,5,16,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,51,2,1,Luxury,true,400,true,163,52,2026-05-16,St. George,Springdale,Springdale,Utah,84767,United States,mountains_lakes,https://www.airbnb.com/rooms/1355123097078023718,https://a0.muscache.com/im/pictures/miso/Hosting-1355123097078023718/original/80a2f56d-0076-4c89-8130-cce94075a7c6.jpeg,1355123097078023718,,37.1873,-113.0014,=AVERAGE($G$2:$G$280),=AVERAGE($D$2:$D$280),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Star Seeker Luxury Camp,387800891,,181608,223329,793.05,76.85,298,1,1,4,true,false,false,false,true,false,false,Home/Apartment,Tent,Unique,5,49,2,2-5,Luxury,true,0,true,229,97,2026-05-17,St. George,Springdale,Virgin,Utah,84779,United States,mountains_lakes,https://www.airbnb.com/rooms/48092827,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDgwOTI4Mjc%3D/original/acef03c2-b60b-48a9-bbc7-20e3d211675a.jpeg,48092827,,37.2258,-113.1242,=AVERAGE($G$2:$G$280),=AVERAGE($D$2:$D$280),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
LaFave South: The Gallery House,LaFave: Luxury Rentals At Zion,,175917,211946,1265.59,45.57,305,6,4,16,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,5,28,2,21+,Luxury,true,349,true,139,42,2026-05-17,St. George,Springdale,Springdale,Utah,84767,United States,mountains_lakes,https://www.airbnb.com/rooms/33312165,https://a0.muscache.com/im/pictures/ace72167-62a8-44ee-9e7e-75406814d2a7.jpg,33312165,1653968,37.1833,-113.0031,=AVERAGE($G$2:$G$280),=AVERAGE($D$2:$D$280),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
Zion Riverside Infinity edge pool,12328692,,162888,216010,1679.26,37.6,330,4,3,10,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,258,3,2-5,Luxury,false,199,false,97,15,2026-05-16,St. George,Springdale,Springdale,Utah,84767,United States,mountains_lakes,https://www.airbnb.com/rooms/2412277,https://a0.muscache.com/im/pictures/hosting/Hosting-2412277/original/224fed85-0ea5-4e88-bc55-bad7271bbd02.jpeg,2412277,462002,37.17811,-113.00651,=AVERAGE($G$2:$G$280),=AVERAGE($D$2:$D$280),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
LaFave South: Angels Landing,LaFave: Luxury Rentals At Zion,,159679,177016,858.49,56.53,335,3,3,10,true,false,false,true,true,false,true,Home/Apartment,Villa,House/villa,4.95,42,2,21+,Luxury,true,249,true,186,63,2026-05-17,St. George,Springdale,Springdale,Utah,84767,United States,mountains_lakes,https://www.airbnb.com/rooms/42924915,https://a0.muscache.com/im/pictures/aaaca3ab-7694-478b-9d93-2e0f1b3e08f7.jpg,42924915,1945896,37.18457,-113.00308,=AVERAGE($G$2:$G$280),=AVERAGE($D$2:$D$280),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
