Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Peaceful Wyoming Cabin w/ Spacious Deck & Wet Bar!,Evolve,,37831,62001,370.89,61.45,172,3,3,11,true,false,false,true,true,false,false,Home/Apartment,Cabin,House/villa,5,15,2,21+,Luxury,false,296,true,102,14,2026-05-16,Wyoming Area,Sundance,Sundance,Wyoming,82729,United States,rural,https://www.airbnb.com/rooms/942765556827235534,https://a0.muscache.com/im/pictures/prohost-api/Hosting-942765556827235534/original/f6d0d1bf-d8dd-44df-8cc2-bc0f367a3401.jpeg,942765556827235534,9852773ha,44.4565,-104.6385,=AVERAGE($G$2:$G$11),=AVERAGE($D$2:$D$11),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
Private Luxury Cabin #1 The Lodge at Devils Tower,401557016,,36362,53332,180.91,87.77,234,1,1,5,true,false,false,true,true,false,false,Home/Apartment,Cabin,House/villa,4.95,58,1,6-20,Luxury,true,0,true,201,102,2026-05-17,Wyoming Area,Sundance,Hulett,Wyoming,82720,United States,rural,https://www.airbnb.com/rooms/1060756322768409984,https://a0.muscache.com/im/pictures/miso/Hosting-1060756322768409984/original/e8b37427-3142-47a8-8944-f109e6a05b41.jpeg,1060756322768409984,2626779,44.63387,-104.63003,=AVERAGE($G$2:$G$11),=AVERAGE($D$2:$D$11),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
Devils Tower Vista of the Black Hills,436640049,,33829,40943,254.35,61.86,274,2,1,4,true,false,false,true,true,true,false,Home/Apartment,Cabin,House/villa,4.95,225,1,1,Luxury,true,40,true,133,50,2026-05-16,Wyoming Area,Sundance,Devils Tower,Wyoming,82714,United States,rural,https://www.airbnb.com/rooms/53901811,https://a0.muscache.com/im/pictures/miso/Hosting-53901811/original/6ecb9439-acdc-4ee1-a093-2f9548474e01.jpeg,53901811,,44.53627,-104.65261,=AVERAGE($G$2:$G$11),=AVERAGE($D$2:$D$11),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Private Luxury Cabin #2 The Lodge at Devils Tower,401557016,,30261,50566,181.2,81.86,214,1,1,5,true,false,false,true,true,false,false,Home/Apartment,Cabin,House/villa,5,78,1,6-20,Luxury,true,0,true,167,85,2026-05-11,Wyoming Area,Sundance,Hulett,Wyoming,82720,United States,rural,https://www.airbnb.com/rooms/1060756430808343864,https://a0.muscache.com/im/pictures/hosting/Hosting-1060756430808343864/original/a78a3200-9b53-48d3-b23a-b74e58c64d78.jpeg,1060756430808343864,4107666,44.63306,-104.63188,=AVERAGE($G$2:$G$11),=AVERAGE($D$2:$D$11),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Erickson Mountain Retreat.  A Wonderful Getaway!,430283348,,26516,49510,208.79,60.19,226,2,1,7,true,false,false,true,true,false,false,Home/Apartment,Guest house,House/villa,5,52,1,1,Luxury,true,85,true,127,26,2026-05-16,Wyoming Area,Sundance,Sundance,Wyoming,82729,United States,rural,https://www.airbnb.com/rooms/53152479,https://a0.muscache.com/im/pictures/a12f85aa-2eea-45da-b3bf-3d7fad0b4dc0.jpg,53152479,2536897,44.39208,-104.36483,=AVERAGE($G$2:$G$11),=AVERAGE($D$2:$D$11),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
Getaway near Sundance Mountain,115856871,,19976,20229,184.96,43.55,265,2,1,4,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,4.85,15,2,1,Luxury,true,0,true,108,18,2026-05-16,Wyoming Area,Sundance,Sundance,Wyoming,82729,United States,rural,https://www.airbnb.com/rooms/1201044047693692002,https://a0.muscache.com/im/pictures/hosting/Hosting-1201044047693692002/original/dfe9b512-4af5-458a-97f0-b9f684d45947.jpeg,1201044047693692002,,44.40264,-104.38299,=AVERAGE($G$2:$G$11),=AVERAGE($D$2:$D$11),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
Rustic Log Cabin Retreat!,271576917,,19832,28708,213.25,56.71,195,2,1,6,true,false,false,true,true,true,false,Home/Apartment,Cabin,House/villa,4.8,134,1,1,Luxury,false,0,false,93,25,2026-05-15,Wyoming Area,Sundance,Sundance,Wyoming,82729,United States,rural,https://www.airbnb.com/rooms/1486403366840428841,https://a0.muscache.com/im/pictures/hosting/Hosting-1486403366840428841/original/3ab800a3-0028-418f-ae99-187c3675053b.jpeg,1486403366840428841,1643743,44.3205,-104.2874,=AVERAGE($G$2:$G$11),=AVERAGE($D$2:$D$11),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Devils Tower Encounters,495004714,,15919,28168,568.54,24.14,256,4,3,9,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,6,2,1,Luxury,false,251,false,28,8,2026-05-11,Wyoming Area,Sundance,Hulett,Wyoming,82720,United States,rural,https://www.airbnb.com/rooms/1228309278949919995,https://a0.muscache.com/im/pictures/miso/Hosting-1228309278949919995/original/0b7780da-5118-4fb7-bd16-e4815999bc71.jpeg,1228309278949919995,4708858,44.5254,-104.5674,=AVERAGE($G$2:$G$11),=AVERAGE($D$2:$D$11),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
"WYnDome located in Beulah, WY",406083381,,14823,16490,221.24,31.46,244,1,1,4,true,false,true,false,true,true,false,Home/Apartment,Dome house,Unique,4.85,26,1,2-5,Luxury,true,50,false,67,33,2026-05-15,Wyoming Area,Sundance,Beulah,Wyoming,82712,United States,rural,https://www.airbnb.com/rooms/1497173336392621402,https://a0.muscache.com/im/pictures/hosting/Hosting-1497173336392621402/original/d09a96f6-cc28-46d8-a22c-723aa13b883b.jpeg,1497173336392621402,4816456,44.5501,-104.1082,=AVERAGE($G$2:$G$11),=AVERAGE($D$2:$D$11),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
"Revamped 1900’s 4 Bedroom, 2 Bath Wyoming Retreat",593004744,,1794,2164,598,11.11,59,4,2,10,true,false,false,true,true,true,false,Home/Apartment,House,House/villa,5,1,3,2-5,Luxury,false,80,false,3,1,2025-07-02,Wyoming Area,Sundance,Sundance,Wyoming,82729,United States,rural,https://www.airbnb.com/rooms/666163792948319365,https://a0.muscache.com/im/pictures/miso/Hosting-666163792948319365/original/c3a0d080-f999-4998-a9ef-18d108ab083f.jpeg,666163792948319365,,44.40497,-104.3806,=AVERAGE($G$2:$G$11),=AVERAGE($D$2:$D$11),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
