Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap
Ace On The 8th - 2 Private Pools,Red Rock Vacation Rentals,,318382,399625,2108.49,50.5,299,14,15,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,16,3,21+,Luxury,true,1200,true,151,44,2026-05-11,St. George,Washington,Washington,Utah,84780,United States,mountains_lakes,https://www.airbnb.com/rooms/53587370,https://a0.muscache.com/im/pictures/prohost-api/Hosting-53587370/original/cf67d2a5-1ea2-4775-8e87-19415cb08f0e.jpeg,53587370,2563219,37.1607,-113.4461,=AVERAGE($G$2:$G$93),=AVERAGE($D$2:$D$93),"=IFERROR(($AT2-G2)/$AT2,0)","=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2
"Zion Mountain | Pool, Hot Tub, BBQ & Pickleball",Wander,,252859,308900,1310.15,65.65,302,4,6,10,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,13,3,21+,Luxury,true,600,true,193,47,2026-05-13,St. George,Washington,Washington,Utah,84780,United States,mountains_lakes,https://www.airbnb.com/rooms/1415236491641933285,https://a0.muscache.com/im/pictures/miso/Hosting-1415236491641933285/original/ebf80a63-9c12-49af-b156-ef514b075798.jpeg,1415236491641933285,4572873,37.1006826326,-113.5005468496,=AVERAGE($G$2:$G$93),=AVERAGE($D$2:$D$93),"=IFERROR(($AT3-G3)/$AT3,0)","=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3
New | Family Reunions | Corp Retreats | Priv Pool,Desert Sky Vacation Rentals,,249342,277101,1333.38,57.54,325,8,10,16,true,false,true,true,true,false,true,Home/Apartment,Villa,House/villa,4.9,65,3,6-20,Luxury,true,833,true,187,52,2026-05-11,St. George,Washington,Washington,Utah,84780,United States,mountains_lakes,https://www.airbnb.com/rooms/569816867289737567,https://a0.muscache.com/im/pictures/prohost-api/Hosting-569816867289737567/original/8b3a7243-19ff-40f1-8d76-1446e82ecc1b.jpeg,569816867289737567,2633679,37.06449,-113.48968,=AVERAGE($G$2:$G$93),=AVERAGE($D$2:$D$93),"=IFERROR(($AT4-G4)/$AT4,0)","=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4
Double Tranquility On The 8th | Private Pools,Private Vacations,,182273,240052,1642.1,43.53,269,13,8,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.7,6,2,21+,Luxury,true,925,true,111,25,2026-05-13,St. George,Washington,Washington,Utah,84780,United States,mountains_lakes,https://www.airbnb.com/rooms/817408494206559140,https://a0.muscache.com/im/pictures/prohost-api/Hosting-817408494206559140/original/562af0dc-1479-49f5-bb08-b94f0802b646.jpeg,817408494206559140,3269919,37.1614,-113.4454,=AVERAGE($G$2:$G$93),=AVERAGE($D$2:$D$93),"=IFERROR(($AT5-G5)/$AT5,0)","=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5
Albatross On The 8th: Private Pool And Hot Tub!,Red Rock Vacation Rentals,,175396,194661,1025.71,51.66,331,7,7,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,10,3,21+,Luxury,true,630,true,171,44,2026-05-11,St. George,Washington,Washington,Utah,84780,United States,mountains_lakes,https://www.airbnb.com/rooms/53586918,https://a0.muscache.com/im/pictures/prohost-api/Hosting-53586918/original/97b03733-1960-41fe-89e1-15b5d4b2af76.jpeg,53586918,2564849,37.1607,-113.4461,=AVERAGE($G$2:$G$93),=AVERAGE($D$2:$D$93),"=IFERROR(($AT6-G6)/$AT6,0)","=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6
"Grand Getaway: Sleeps 45, reunion or corporate",Red Rock Vacation Rentals,,169478,192804,896.71,58.88,321,11,10,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.95,38,3,21+,Luxury,true,718,true,189,55,2026-05-14,St. George,Washington,Washington,Utah,84780,United States,mountains_lakes,https://www.airbnb.com/rooms/766561072293016220,https://a0.muscache.com/im/pictures/prohost-api/Hosting-766561072293016220/original/2543e0df-921d-44c7-8f90-d2d3f9709c3b.jpeg,766561072293016220,3123510,37.1484,-113.4681,=AVERAGE($G$2:$G$93),=AVERAGE($D$2:$D$93),"=IFERROR(($AT7-G7)/$AT7,0)","=IFERROR(($AU7-D7)/$AU7,0)",=$AU7-D7
A Hole in One:Overlooking Coral Canyon Golf Course,Red Rock Vacation Rentals,,168311,222880,1573,51.69,241,15,16,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,3,3,21+,Luxury,true,1291,true,107,33,2026-05-15,St. George,Washington,Washington,Utah,84780,United States,mountains_lakes,https://www.airbnb.com/rooms/1465346412256236499,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1465346412256236499/original/489b6e57-3db9-4ed1-9d0a-774eef6deb3b.jpeg,1465346412256236499,4698562,37.1615,-113.4453,=AVERAGE($G$2:$G$93),=AVERAGE($D$2:$D$93),"=IFERROR(($AT8-G8)/$AT8,0)","=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8
Sleeps 24|  Pool | Lazy River | Mini Golf,Desert Sky Vacation Rentals,,151735,166394,1107.55,40.9,335,8,10,16,true,false,true,true,true,false,true,Home/Apartment,Villa,House/villa,4.85,79,3,6-20,Luxury,true,840,true,137,37,2026-05-11,St. George,Washington,Washington,Utah,84780,United States,mountains_lakes,https://www.airbnb.com/rooms/34148129,https://a0.muscache.com/im/pictures/e527bcce-b6ce-4a85-8f5c-be7c9d184c78.jpg,34148129,1826306,37.06617,-113.48973,=AVERAGE($G$2:$G$93),=AVERAGE($D$2:$D$93),"=IFERROR(($AT9-G9)/$AT9,0)","=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9
"Perfectly on Par: Private Pool, Firepit",Red Rock Vacation Rentals,,146020,160194,869.17,50.45,334,7,7,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.95,31,3,21+,Luxury,true,531,true,168,49,2026-05-13,St. George,Washington,Washington,Utah,84780,United States,mountains_lakes,https://www.airbnb.com/rooms/1066678380536359809,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1066678380536359809/original/b3da5c91-c99a-44d7-ac27-802e82d4dd81.jpeg,1066678380536359809,3804172,37.1601,-113.4458,=AVERAGE($G$2:$G$93),=AVERAGE($D$2:$D$93),"=IFERROR(($AT10-G10)/$AT10,0)","=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10
West of Zion combined 9 bedroom w/ Private Hot Tub,Private Vacations,,135405,160221,841.02,60.07,278,9,9,16,true,false,true,true,true,false,true,Home/Apartment,Townhouse,Apt/Condo/Loft,4.8,19,2,21+,Luxury,true,450,true,161,51,2026-05-17,St. George,Washington,Washington,Utah,84780,United States,mountains_lakes,https://www.airbnb.com/rooms/614605312100452856,https://a0.muscache.com/im/pictures/prohost-api/Hosting-614605312100452856/original/ad515a44-a365-4f8f-bd8d-fc905e294784.jpeg,614605312100452856,2780054,37.1634,-113.4479,=AVERAGE($G$2:$G$93),=AVERAGE($D$2:$D$93),"=IFERROR(($AT11-G11)/$AT11,0)","=IFERROR(($AU11-D11)/$AU11,0)",=$AU11-D11
Double Eagle On The 8th: Private Pool + Near,Red Rock Vacation Rentals,,126749,161413,990.23,39.63,327,7,7,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.9,12,3,21+,Luxury,true,630,true,128,36,2026-05-11,St. George,Washington,Washington,Utah,84780,United States,mountains_lakes,https://www.airbnb.com/rooms/53587137,https://a0.muscache.com/im/pictures/prohost-api/Hosting-53587137/original/5a6703dd-a552-4ebf-a815-c14a83bae59c.jpeg,53587137,2564848,37.1607,-113.4461,=AVERAGE($G$2:$G$93),=AVERAGE($D$2:$D$93),"=IFERROR(($AT12-G12)/$AT12,0)","=IFERROR(($AU12-D12)/$AU12,0)",=$AU12-D12
